observable_id	observable_kind	source_file	source_sha256	method_basis	data_role	fitting_allowed	status	note
T_CC_330	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_330/T_CC_330.log	22b6bf2215c88b299926e241d866b97de2a89008715772fbfbb562c670f7ec50	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_000	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_000/T_CS_000.log	cd9d5b45d73b6a716828d9bbace8d3ee4f60b25220189bca49b2cfa8ebec8908	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_010	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_010/T_CS_010.log	e3ca0a16ecf7639ff1803c398f3987b06bf8745f46c1b0d177394556519e87ce	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_020	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_020/T_CS_020.log	1588acabe51bd9781742fd0037d084dd5d3e18c43caf93f193e40b56ac07ecc5	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_030	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_030/T_CS_030.log	a54fab9945f2e4e15a8323ab66cd0fd60516ad634e8fb1828035c205f9b6c716	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_040	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_040/T_CS_040.log	a302c0c1c0cae83034ab2ee0255d97f27bfeafae1ee5e9accf614c5d0e72795f	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_050	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_050/T_CS_050.log	6a9a2cd8091fac2290ec1cef1ae0ae0954f9194c5a5dc2a61135c2ccd2fbc0f5	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_060	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_060/T_CS_060.log	49d110b930c472f69d946c12eb14450075d0840ac7a6871f872b9d9d458905d0	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_070	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_070/T_CS_070.log	e633f885a9676340585da120a49f0a0ec3c6c0a56e6a4f1e0861ec898d98332f	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_080	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_080/T_CS_080.log	4e1e6798cbb4939e1f31dc4b047cf1291b329b919841087f835bb02ffe90e24a	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_090	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_090/T_CS_090.log	c275259d5e4b2b19f5636ca023bbb222442ab2e85dce382f4bcc1a66443f797c	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_100	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_100/T_CS_100.log	32401186e712eb2fddf2008a08e343d498d24a0c3235ba8e5fa9cbc672fba866	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_110	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_110/T_CS_110.log	cd16f1e5bb385eafc45fc823fece2258863f2869629a66d9be6b7e6c094a2843	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CS_120	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CS_120/T_CS_120.log	92b9995951024a1129f1971196f9ef85b566311ff9fde624bbfc90f846c02030	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_REV_000	REVERSE_BRANCH_ENERGY_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_reverse_6run_20260926_v6/logs/T_CC_REV_000/T_CC_REV_000.log	a2403751b3f1ca9da794ea6bd5d70efb5f951181cfa1eae103365e23e76272e4	MP2/6-31+G(d)	DIAGNOSTIC_ONLY	NO	EXISTING_READ_ONLY	Excluded from numerical fitting; branch consistency adjudication. Already inspected, not blind holdout.
T_CC_REV_120	REVERSE_BRANCH_ENERGY_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_reverse_6run_20260926_v6/logs/T_CC_REV_120/T_CC_REV_120.log	9cde93d16053041504dc266a7f29fa5ff4eb3141e8eb15baf15f1b64e0edc981	MP2/6-31+G(d)	DIAGNOSTIC_ONLY	NO	EXISTING_READ_ONLY	Excluded from numerical fitting; branch consistency adjudication. Already inspected, not blind holdout.
T_CC_REV_240	REVERSE_BRANCH_ENERGY_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_reverse_6run_20260926_v6/logs/T_CC_REV_240/T_CC_REV_240.log	408aae3914a4d94cbbf6dcb65b43ed6ff56ec3be6d01fe7d36ccafef3001b9b6	MP2/6-31+G(d)	DIAGNOSTIC_ONLY	NO	EXISTING_READ_ONLY	Excluded from numerical fitting; branch consistency adjudication. Already inspected, not blind holdout.
T_CS_REV_000	REVERSE_BRANCH_ENERGY_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_reverse_6run_20260926_v6/logs/T_CS_REV_000/T_CS_REV_000.log	86cbd41bcff309f7a143a2bdfc6bf46ad998a4e625e1b15701d84ca7efa15ab6	MP2/6-31+G(d)	DIAGNOSTIC_ONLY	NO	EXISTING_READ_ONLY	Excluded from numerical fitting; branch consistency adjudication. Already inspected, not blind holdout.
T_CS_REV_060	REVERSE_BRANCH_ENERGY_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_reverse_6run_20260926_v6/logs/T_CS_REV_060/T_CS_REV_060.log	26fad65242acbaf63d6e38b2a638cde7e15e25ff59fa7f7b071b8d63890fe343	MP2/6-31+G(d)	DIAGNOSTIC_ONLY	NO	EXISTING_READ_ONLY	Excluded from numerical fitting; branch consistency adjudication. Already inspected, not blind holdout.
T_CS_REV_120	REVERSE_BRANCH_ENERGY_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_reverse_6run_20260926_v6/logs/T_CS_REV_120/T_CS_REV_120.log	c8cf31a0de67ac03c1ceb3a3591383d8da3553b50536902f091e5fe07a624173	MP2/6-31+G(d)	DIAGNOSTIC_ONLY	NO	EXISTING_READ_ONLY	Excluded from numerical fitting; branch consistency adjudication. Already inspected, not blind holdout.
W_O1_A_C1	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_C1\W_O1_A_C1.log	5b20bf195e313aa8b6a51a353d9c5cf3efb200ddc55a41560bfc8ea2d5722aae	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_C2	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_C2\W_O1_A_C2.log	c2050318de6dcecaaeaeda76e19b2f9d2db7ce2caebd33d73440152bb19c90e2	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_C3	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_C3\W_O1_A_C3.log	c4c5a8dc4ae7119306dd275018f3e0fc0c61fceb6ed9aab622be2af74a25f651	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_C4	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_C4\W_O1_A_C4.log	95e628c9cc857c1bbecd7c023cbf7697056154aa58eb7e00b90927cdb9eec477	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_C5	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_C5\W_O1_A_C5.log	b348bde71d8bd472d3bd3d827f582d5f772dd4f4a1ffbd7af1044d6e09d3edd9	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_C6	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_C6\W_O1_A_C6.log	80d030d4d19bc12236fa5b220edf3fd7350b9b5268c37d31aae9de77b20a0f38	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_C7	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_C7\W_O1_A_C7.log	7c50f2491c5b2e8595222691a3222f01472de9c442d6fb1000c23a509d564d62	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_DIFF	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_DIFF\W_O1_A_DIFF.log	63662e15ec0f87e5123f6dc525071630c36551620268a18a9d7a24e3496174bb	MP2/6-31+G(d) CP=2	DIAGNOSTIC_ONLY	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_R1	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_R1\W_O1_A_R1.log	5ab0a6fce72d6cbdf1bc079816910e1a26ae36c96fbab74222ab5ee66f1a70cc	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_R2	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_R2\W_O1_A_R2.log	36286558b37a51c140aa94f9d06205096bc9af10a0933b4b7c12545397866c12	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_A_R3	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_A_R3\W_O1_A_R3.log	5c79ed099eb1b89804162845969de66c39e635e8eaf9740d6d455514a413d6fb	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_C1	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_C1\W_O1_B_C1.log	7746aaa6bf620f40a49ade3118a07666a6eb2c9d42f5050980ad66f7f184769f	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_C2	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_C2\W_O1_B_C2.log	10a926c24c1f23e054b62d99ae185cb29ffbb79540a2cff28b71d74266f32606	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_C3	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_C3\W_O1_B_C3.log	0a10ae5e62251c65179e7473c66a7e5db9e6834d5f6fb78dfa24abcc7f6f5756	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_C4	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_C4\W_O1_B_C4.log	34884f4e2a4e711485b9accc5129531bdf85d6512c9e04f3fbfb16688649a04a	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_C5	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_C5\W_O1_B_C5.log	6c3e842e51b695ee6982cad300b6f784fde1828540539480d2abff5578ac3e0f	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_C6	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_C6\W_O1_B_C6.log	850eb39998367d531af26a2b9952455f2b56fcdb8747b95fb4a647c9bb75c3c0	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_C7	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_C7\W_O1_B_C7.log	62ace1d333851aede25a5fffb5f8d1e5e6bdc0c9ce4e369a2891131420ae0f3d	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_DIFF	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_DIFF\W_O1_B_DIFF.log	f21953b9543bd26a43c66c58194cbec68138497e78801363f4ce83d5056ac4fe	MP2/6-31+G(d) CP=2	DIAGNOSTIC_ONLY	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_R1	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_R1\W_O1_B_R1.log	71827d81eb15c2a45dd4fe613bbcb16741b17f5a081e8a543e9296769e0808b0	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_R2	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_R2\W_O1_B_R2.log	eaf1b72d88d7bc8fe5f41ca746d0f8bcd1fe7e08dbbc0f970c11cd1046715578	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O1_B_R3	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O1_B_R3\W_O1_B_R3.log	ced300b8fc5991a985837e6ff7542672ad11ae1e48a955ac5386b1caec76bde1	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
W_O2_A_SYM	WATER_INTERACTION	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\water_interaction\phase2_20260924\W_O2_A_SYM\W_O2_A_SYM.log	7623df25b4ed67f6c9a75652d6d6065882fed3923f2e0b3e8e6f16f9404cc19e	MP2/6-31G(d) CP=2	VALIDATION	NO	EXISTING_READ_ONLY	Pre-existing inspected nonbonded compatibility guard; no charge/LJ fit; diffuse comparison stays separate; not prospective blind data.
